state, medianHomePrice ,medianHomePriceYearOnYearGrowth, gdp_per_capita , population_states ,industries,value_of_100,crime_rate,land_price,urbanization_index,population_density
New York,819900.00,-1.80,108380.00,19677151.00,Finance,102.23,363.80,40.99,12.56,412.80
California,785900.00,-5.80,96222.00,39029342.00,Information,95.26,442.00,85.60,12.19,253.60
Hawaii,720200.00,1.40,71215.00,1440196.00,Real estate,90.76,254.20,110.86,11.09,220.40
Washington,618000.00,-5.40,97805.00,7785786.00,Information,100.38,239.70,55.57,11.12,114.60
Massachusetts,614700.00,1.80,103340.00,6981974.00,Services,97.92,308.80,38.25,10.20,165.60
Colorado,580900.00,-4.10,85816.00,5839926.00,Real estate,103.65,423.10,60.84,11.15,55.60
Utah,529600.00,-8.00,76487.00,3380800.00,Manufacturing,109.91,260.70,67.52,10.96,39.00
Oregon,510900.00,-3.20,74492.00,4240137.00,Manufacturing,100.72,291.90,48.21,10.71,43.90
New Jersey,477600.00,5.00,83810.00,9261699.00,Real estate,93.44,195.40,45.90,12.24,1207.80
Rhode Island,462100.00,7.50,67358.00,1093734.00,Real estate,98.82,230.80,42.42,11.72,1024.50
Idaho,460900.00,9.20,58855.00,1939033.00,Real estate,111.26,242.60,47.69,9.59,21.60
Montana,453567.00,-0.40,59986.00,1122867.00,Real estate,109.54,469.80,14.59,8.47,7.30
New Hampshire,452700.00,4.40,78281.00,1395231.00,Real estate,98.96,146.40,10.70,9.92,151.90
Virginia,440200.00,-0.20,77875.00,8683619.00,Services,107.71,208.00,9.67,10.91,216.10
Arizona,436100.00,-6.20,65096.00,7359197.00,Real estate,114.82,654.80,60.39,11.30,64.10
Nevada,428100.00,8.10,71990.00,3177772.00,Real estate,107.57,460.30,82.80,11.77,28.10
Maryland,421800.00,0.80,79111.00,6164660.00,Real estate,99.65,399.90,32.27,11.71,622.80
Florida,407200.00,-0.40,65390.00,22244823.00,Real estate,103.74,383.60,55.20,11.46,400.50
Connecticut,393700.00,6.60,91763.00,3626205.00,Finance,98.66,181.60,18.94,11.41,736.30
Vermont,385300.00,5.30,65279.00,647064.00,Real estate,102.33,173.40,5.95,8.84,67.70
Alaska,379600.00,4.50,86902.00,733583.00,Mining,98.35,837.80,10.02,8.74,1.30
Tennessee,377200.00,2.40,71198.00,7051339.00,Manufacturing,114.17,672.70,14.35,11.84,883.70
Georgia,375300.00,0.90,72340.00,10912876.00,Real estate,110.62,400.10,15.72,10.55,184.60
South Carolina,374200.00,2.10,58398.00,5282634.00,Manufacturing,110.18,530.70,30.09,10.11,171.30
Maine,373700.00,6.10,63267.00,1385340.00,Real estate,105.96,108.60,7.17,9.04,43.60
North Carolina,371100.00,2.90,71297.00,10698973.00,Manufacturing,110.30,530.70,19.63,10.32,215.70
Texas,357800.00,4.40,81130.00,30029572.00,Manufacturing,108.65,446.50,36.64,11.17,111.00
New Mexico,349200.00,0.60,58716.00,2113344.00,Mining,115.04,778.30,23.91,9.90,17.30
Minnesota,341700.00,-2.20,81150.00,5717184.00,Manufacturing,110.69,277.50,28.31,10.46,70.80
Delaware,327300.00,1.30,89785.00,1018396.00,Finance,103.84,431.90,36.05,11.01,499.60
West Virginia,304400.00,4.20,53939.00,1775156.00,Mining,112.48,355.90,9.67,9.11,74.60
Wisconsin,297100.00,6.00,70728.00,5892539.00,Manufacturing,109.82,323.40,19.67,10.19,107.50
South Dakota,295881.00,1.10,77033.00,909824.00,Finance,113.82,501.40,29.58,8.73,11.70
Nebraska,290500.00,7.90,85931.00,1967923.00,Manufacturing,113.20,334.10,29.16,10.20,25.20
Alabama,284900.00,1.30,56897.00,5074296.00,Manufacturing,116.97,453.60,12.64,9.61,96.80
Illinois,280900.00,0.00,85111.00,12582032.00,Manufacturing,110.71,425.90,25.82,11.62,228.20
Pennsylvania,278700.00,0.00,74109.00,12972008.00,Manufacturing,107.72,389.50,19.51,11.15,286.10
Kansas,276300.00,2.10,74962.00,2937150.00,Manufacturing,114.61,425.00,18.37,10.12,35.60
Wyoming,276000.00,-12.50,81564.00,581381.00,Mining,109.65,234.20,21.52,8.26,6.00
Mississippi,271200.00,6.30,48744.00,2940057.00,Manufacturing,117.90,291.20,5.71,8.91,63.40
Arkansas,258100.00,7.50,56115.00,3045637.00,Manufacturing,115.18,671.90,7.85,9.26,58.00
Indiana,258000.00,3.90,69203.00,6833037.00,Manufacturing,110.34,357.70,19.11,10.41,187.90
Louisiana,257400.00,-2.30,63031.00,4590241.00,Manufacturing,112.31,639.40,16.83,10.18,107.60
Missouri,255400.00,3.00,65847.00,6177957.00,Manufacturing,115.64,542.70,14.84,10.20,89.30
North Dakota,254258.00,0.20,94815.00,779261.00,Mining,111.44,329.00,29.27,9.05,11.00
Oklahoma,253200.00,5.10,60385.00,4019800.00,Mining,114.91,458.60,12.90,9.94,57.70
Michigan,252200.00,1.60,64272.00,10034113.00,Manufacturing,110.26,478.00,15.61,10.81,176.60
Kentucky,251300.00,3.00,60170.00,4512310.00,Manufacturing,115.59,293.70,11.45,9.79,113.10
Ohio,240900.00,2.40,72550.00,11756058.00,Manufacturing,111.12,308.80,16.68,10.88,286.10
Iowa,230600.00,3.30,75155.00,3200517.00,Manufacturing,114.86,303.50,19.30,9.59,56.50
