state, medianHomePrice ,medianHomePriceYearOnYearGrowth, gdp_per_capita , population_states ,industries,value_of_100,crime_rate,land_price,urbanization_index,population_density,urbanization_index_rounded
New York,819900,-1.8,108380,19677151,Finance,102.23,363.8,40.99,12.56,412.8,13
New Jersey,477600,5,83810,9261699,Real estate,93.44,195.4,45.9,12.24,1207.8,12
California,785900,-5.8,96222,39029342,Information,95.26,442,85.6,12.19,253.6,12
Tennessee,377200,2.4,71198,7051339,Manufacturing,114.17,672.7,14.35,11.84,883.7,12
Nevada,428100,8.1,71990,3177772,Real estate,107.57,460.3,82.8,11.77,28.1,12
Rhode Island,462100,7.5,67358,1093734,Real estate,98.82,230.8,42.42,11.72,1024.5,12
Maryland,421800,0.8,79111,6164660,Real estate,99.65,399.9,32.27,11.71,622.8,12
Illinois,280900,0,85111,12582032,Manufacturing,110.71,425.9,25.82,11.62,228.2,12
Florida,407200,-0.4,65390,22244823,Real estate,103.74,383.6,55.2,11.46,400.5,11
Connecticut,393700,6.6,91763,3626205,Finance,98.66,181.6,18.94,11.41,736.3,11
Arizona,436100,-6.2,65096,7359197,Real estate,114.82,654.8,60.39,11.3,64.1,11
Texas,357800,4.4,81130,30029572,Manufacturing,108.65,446.5,36.64,11.17,111,11
Colorado,580900,-4.1,85816,5839926,Real estate,103.65,423.1,60.84,11.15,55.6,11
Pennsylvania,278700,0,74109,12972008,Manufacturing,107.72,389.5,19.51,11.15,286.1,11
Washington,618000,-5.4,97805,7785786,Information,100.38,239.7,55.57,11.12,114.6,11
Hawaii,720200,1.4,71215,1440196,Real estate,90.76,254.2,110.86,11.09,220.4,11
Delaware,327300,1.3,89785,1018396,Finance,103.84,431.9,36.05,11.01,499.6,11
Utah,529600,-8,76487,3380800,Manufacturing,109.91,260.7,67.52,10.96,39,11
Virginia,440200,-0.2,77875,8683619,Services,107.71,208,9.67,10.91,216.1,11
Ohio,240900,2.4,72550,11756058,Manufacturing,111.12,308.8,16.68,10.88,286.1,11
Michigan,252200,1.6,64272,10034113,Manufacturing,110.26,478,15.61,10.81,176.6,11
Oregon,510900,-3.2,74492,4240137,Manufacturing,100.72,291.9,48.21,10.71,43.9,11
Georgia,375300,0.9,72340,10912876,Real estate,110.62,400.1,15.72,10.55,184.6,11
Minnesota,341700,-2.2,81150,5717184,Manufacturing,110.69,277.5,28.31,10.46,70.8,10
Indiana,258000,3.9,69203,6833037,Manufacturing,110.34,357.7,19.11,10.41,187.9,10
North Carolina,371100,2.9,71297,10698973,Manufacturing,110.3,530.7,19.63,10.32,215.7,10
Massachusetts,614700,1.8,103340,6981974,Services,97.92,308.8,38.25,10.2,165.6,10
Nebraska,290500,7.9,85931,1967923,Manufacturing,113.2,334.1,29.16,10.2,25.2,10
Missouri,255400,3,65847,6177957,Manufacturing,115.64,542.7,14.84,10.2,89.3,10
Wisconsin,297100,6,70728,5892539,Manufacturing,109.82,323.4,19.67,10.19,107.5,10
Louisiana,257400,-2.3,63031,4590241,Manufacturing,112.31,639.4,16.83,10.18,107.6,10
Kansas,276300,2.1,74962,2937150,Manufacturing,114.61,425,18.37,10.12,35.6,10
South Carolina,374200,2.1,58398,5282634,Manufacturing,110.18,530.7,30.09,10.11,171.3,10
Oklahoma,253200,5.1,60385,4019800,Mining,114.91,458.6,12.9,9.94,57.7,10
New Hampshire,452700,4.4,78281,1395231,Real estate,98.96,146.4,10.7,9.92,151.9,10
New Mexico,349200,0.6,58716,2113344,Mining,115.04,778.3,23.91,9.9,17.3,10
Kentucky,251300,3,60170,4512310,Manufacturing,115.59,293.7,11.45,9.79,113.1,10
Alabama,284900,1.3,56897,5074296,Manufacturing,116.97,453.6,12.64,9.61,96.8,10
Iowa,230600,3.3,75155,3200517,Manufacturing,114.86,303.5,19.3,9.59,56.5,10
Idaho,460900,9.2,58855,1939033,Real estate,111.26,242.6,47.69,9.59,21.6,10
Arkansas,258100,7.5,56115,3045637,Manufacturing,115.18,671.9,7.85,9.26,58,9
West Virginia,304400,4.2,53939,1775156,Mining,112.48,355.9,9.67,9.11,74.6,9
North Dakota,254258,0.2,94815,779261,Mining,111.44,329,29.27,9.05,11,9
Maine,373700,6.1,63267,1385340,Real estate,105.96,108.6,7.17,9.04,43.6,9
Mississippi,271200,6.3,48744,2940057,Manufacturing,117.9,291.2,5.71,8.91,63.4,9
Vermont,385300,5.3,65279,647064,Real estate,102.33,173.4,5.95,8.84,67.7,9
Alaska,379600,4.5,86902,733583,Mining,98.35,837.8,10.02,8.74,1.3,9
South Dakota,295881,1.1,77033,909824,Finance,113.82,501.4,29.58,8.73,11.7,9
Montana,453567,-0.4,59986,1122867,Real estate,109.54,469.8,14.59,8.47,7.3,8
Wyoming,276000,-12.5,81564,581381,Mining,109.65,234.2,21.52,8.26,6,8
